"Study","Study.year","Trial","Source","Day","Accommodation","Life.stage","Parasite","Parasite.kind","Pesticide","Pesticide.group","Treatment","Experimental.proportion","Control.proportion","Experimental.sample.size","Control.sample.size"
"Papach 2017",2017,"Pa1","Fig 3",19,"Enclosures","Immatures","American foulbrood","Bacteria","Thiamethoxam","Neonicotinoid","combined",0.42012848,0.178265525,96,96
"Retschnig 2014",2014,"Re1","Fig 1",14,"Enclosures","Adults","Nosema ceranae","Nosema","Thiacloprid","Neonicotinoid","pesticide",0.324742268,0.025773196,80,80
"Retschnig 2014",2014,"Re1","Fig 1",14,"Enclosures","Adults","Nosema ceranae","Nosema","Thiacloprid","Neonicotinoid","parasite",0.410652921,0.025773196,80,80
"Retschnig 2014",2014,"Re1","Fig 1",14,"Enclosures","Adults","Nosema ceranae","Nosema","Thiacloprid","Neonicotinoid","combined",0.350515464,0.025773196,80,80
"Retschnig 2014",2014,"Re2","Fig 1",14,"Enclosures","Adults","Nosema ceranae","Nosema","Thiacloprid","Neonicotinoid","pesticide",0.325415677,0.026128266,80,80
"Retschnig 2014",2014,"Re2","Fig 1",14,"Enclosures","Adults","Nosema ceranae","Nosema","Thiacloprid","Neonicotinoid","parasite",0.349168646,0.026128266,80,80
"Retschnig 2014",2014,"Re2","Fig 1",14,"Enclosures","Adults","Nosema ceranae","Nosema","Thiacloprid","Neonicotinoid","combined",0.786223278,0.026128266,80,80
"Retschnig 2015",2015,"Ret1","Fig 1",12,"Hive","Adults","Nosema ceranae","Nosema","Thiacloprid and tau-fluvalinate","Other","pesticide",0.464589235,0.35694051,594,594
"Retschnig 2015",2015,"Ret1","Fig 1",12,"Hive","Adults","Nosema ceranae","Nosema","Thiacloprid and tau-fluvalinate","Other","parasite",0.422096317,0.35694051,594,594
"Retschnig 2015",2015,"Ret1","Fig 1",12,"Hive","Adults","Nosema ceranae","Nosema","Thiacloprid and tau-fluvalinate","Other","combined",0.464589235,0.35694051,594,594
"Retschnig 2015",2015,"Ret2","Fig 2",8,"Hive","Adults","Nosema ceranae","Nosema","Thiacloprid and tau-fluvalinate","Other","pesticide",0.458923513,0.470254958,594,594
"Retschnig 2015",2015,"Ret2","Fig 2",8,"Hive","Adults","Nosema ceranae","Nosema","Thiacloprid and tau-fluvalinate","Other","parasite",0.458923513,0.470254958,594,594
"Retschnig 2015",2015,"Ret2","Fig 2",8,"Hive","Adults","Nosema ceranae","Nosema","Thiacloprid and tau-fluvalinate","Other","combined",0.458923513,0.470254958,594,594
"Straub 2019",2019,"St1","SI",17,"Enclosures","Adults","Varroa","Varroa","Thiamethoxam and clothianidin","Neonicotinoid","pesticide",0.267399267,0.36101083,300,300
"Straub 2019",2019,"St1","SI",17,"Enclosures","Adults","Varroa","Varroa","Thiamethoxam and clothianidin","Neonicotinoid","parasite",0.708633094,0.36101083,300,300
"Straub 2019",2019,"St1","SI",17,"Enclosures","Adults","Varroa","Varroa","Thiamethoxam and clothianidin","Neonicotinoid","combined",0.714801444,0.36101083,300,300
"Straub 2019",2019,"St2","SI",13,"Enclosures","Adults","Varroa","Varroa","Thiamethoxam and clothianidin","Neonicotinoid","pesticide",0.355932203,0.283387622,300,300
"Straub 2019",2019,"St2","SI",13,"Enclosures","Adults","Varroa","Varroa","Thiamethoxam and clothianidin","Neonicotinoid","parasite",0.581967213,0.283387622,300,300
"Straub 2019",2019,"St2","SI",13,"Enclosures","Adults","Varroa","Varroa","Thiamethoxam and clothianidin","Neonicotinoid","combined",0.765486726,0.283387622,300,300
"Tesovnik 2019",2019,"Te1","Fig 2 T",14,"Enclosures","Adults","Nosema ceranae","Nosema","Thiamethoxam","Neonicotinoid","pesticide",0.155487805,0.021341463,60,60
"Tesovnik 2019",2019,"Te1","Fig 2 T",14,"Enclosures","Adults","Nosema ceranae","Nosema","Thiamethoxam","Neonicotinoid","parasite",0.225609756,0.021341463,60,60
"Tesovnik 2019",2019,"Te1","Fig 2 T",14,"Enclosures","Adults","Nosema ceranae","Nosema","Thiamethoxam","Neonicotinoid","combined",0.475609756,0.021341463,60,60
"Tesovnik 2019",2019,"Te2","Fig 2 TT",14,"Enclosures","Adults","Nosema ceranae","Nosema","Thiamethoxam","Neonicotinoid","pesticide",0.518292683,0.021341463,60,60
"Tesovnik 2019",2019,"Te2","Fig 2 TT",14,"Enclosures","Adults","Nosema ceranae","Nosema","Thiamethoxam","Neonicotinoid","parasite",0.225609756,0.021341463,60,60
"Tesovnik 2019",2019,"Te2","Fig 2 TT",14,"Enclosures","Adults","Nosema ceranae","Nosema","Thiamethoxam","Neonicotinoid","combined",0.615853659,0.021341463,60,60
"Vidau 2011",2011,"Vi1","Fig 3 A",10,"Enclosures","Adults","Nosema ceranae","Nosema","Fipronil","Non-neonicotinoid","pesticide",0.104100946,0.100946372,150,150
"Vidau 2011",2011,"Vi1","Fig 3 A",10,"Enclosures","Adults","Nosema ceranae","Nosema","Fipronil","Non-neonicotinoid","parasite",0.476340694,0.100946372,150,150
"Vidau 2011",2011,"Vi1","Fig 3 A",10,"Enclosures","Adults","Nosema ceranae","Nosema","Fipronil","Non-neonicotinoid","combined",0.823343849,0.100946372,150,150
"Vidau 2011",2011,"Vi2","Fig 3 A",10,"Enclosures","Adults","Nosema ceranae","Nosema","Thiacloprid","Neonicotinoid","pesticide",0.14511041,0.100946372,150,150
"Vidau 2011",2011,"Vi2","Fig 3 A",10,"Enclosures","Adults","Nosema ceranae","Nosema","Thiacloprid","Neonicotinoid","parasite",0.476340694,0.100946372,150,150
"Vidau 2011",2011,"Vi2","Fig 3 A",10,"Enclosures","Adults","Nosema ceranae","Nosema","Thiacloprid","Neonicotinoid","combined",0.706624606,0.100946372,150,150
